category1,category2,P_score,R_score,F1_score
SES,SES,0.6804615644706126,0.6779143893875099,0.6787410090657705
SES,age,0.6154171597136473,0.5937600816423542,0.6035024238881425
SES,disability,0.6436994138111264,0.6299402814840139,0.6360819672016387
SES,disease,0.6313309988846401,0.6184020655326963,0.6242669415543112
SES,educational_qualification,0.6502712416944775,0.6489005928978007,0.6491586710544343
SES,ethnicity,0.6434048769321847,0.6339632907832681,0.6378163315827703
SES,gender,0.6245865481580101,0.6118811525073253,0.6175200759085026
SES,nationality,0.6368488616848521,0.6255637276307727,0.6303358106550853
SES,physical_appearance,0.635198387354686,0.6284377820152035,0.6313100087353641
SES,race,0.6410178536272987,0.6312659902537161,0.6352361437511947
SES,region,0.6241791186093311,0.6035566491876616,0.6127922106576258
SES,religion,0.6592195294004806,0.6551173982166109,0.6567640065724123
SES,sexual_orientation,0.6466116504433762,0.6292323003814185,0.6371002678037405
age,age,0.5935688832058804,0.5950035752770328,0.5931254094806228
age,disability,0.5974703755543107,0.6039247283354068,0.5996245623462942
age,disease,0.5990213750207196,0.6066564138164343,0.6019547513487057
age,educational_qualification,0.5893901402253238,0.6076923265671119,0.5974279892899785
age,ethnicity,0.5838254945471465,0.5965521194478135,0.5890507517409784
age,gender,0.5978492430441982,0.6060676275660376,0.6009334982853388
age,nationality,0.5889663862535491,0.5991492761404376,0.592870830621105
age,physical_appearance,0.6002140577189741,0.6137348000657608,0.6060210044013403
age,race,0.5870041858148104,0.5984228084392057,0.5915182742764467
age,region,0.5887990382031587,0.5906354646676639,0.5885428645544185
age,religion,0.5945595612541508,0.6114471109975844,0.6020845619000187
age,sexual_orientation,0.6078058392430505,0.6144981600849576,0.6101289865988195
disability,disability,0.6278612280460246,0.6368306101272578,0.6314118322416865
disability,disease,0.6284846268333755,0.6303554062451516,0.6286386862709805
disability,educational_qualification,0.6228075736379012,0.6345712599158287,0.6278765503871135
disability,ethnicity,0.6094368968886891,0.6137811432413882,0.6106400938607442
disability,gender,0.6109057176356706,0.6129038522900133,0.6110649335361853
disability,nationality,0.6076919760652211,0.6105741821144736,0.6081707454555011
disability,physical_appearance,0.6164416559053875,0.6235742271906148,0.6192840677254529
disability,race,0.609625049603337,0.6133297472657876,0.6104846305485886
disability,region,0.6018926699150494,0.5965400910650761,0.5982074447171605
disability,religion,0.6375024365854788,0.6468386011464256,0.6414632603144035
disability,sexual_orientation,0.6303923465678913,0.6291751096352083,0.628902620829539
disease,disease,0.6450680526293288,0.6370369568843433,0.6404463013991563
disease,educational_qualification,0.6210081282212879,0.6309573806032087,0.6253274070042553
disease,ethnicity,0.6019300140494962,0.605583696062662,0.6029554856950836
disease,gender,0.6117359323535937,0.6121755818543085,0.6112911107665677
disease,nationality,0.6017833070085925,0.6036015881100308,0.6018922500695164
disease,physical_appearance,0.6173817651940955,0.6233042330967448,0.6197426640064343
disease,race,0.602785393463286,0.6057255241360391,0.6034311610270834
disease,region,0.5994954069619782,0.5936699438627637,0.5957283141398592
disease,religion,0.6269028837030585,0.6347845127701244,0.630293069915338
disease,sexual_orientation,0.6328890503738032,0.6308854499827454,0.6311957668556478
educational_qualification,educational_qualification,0.6634242702047808,0.6641739535630478,0.6632523200221925
educational_qualification,ethnicity,0.6212621113349651,0.6137284741833292,0.6166564198232245
educational_qualification,gender,0.6152094296811681,0.6052734287599811,0.6094773390297112
educational_qualification,nationality,0.6164065698566644,0.6068684070676134,0.6107699915766716
educational_qualification,physical_appearance,0.6197833728651668,0.6157951709142951,0.6172180075111777
educational_qualification,race,0.6197616360278655,0.6118027637588948,0.6148914816273484
educational_qualification,region,0.6071357860677336,0.5894284824786464,0.5972090983672607
educational_qualification,religion,0.6436792469213879,0.6415208679343026,0.6421591624854103
educational_qualification,sexual_orientation,0.6331282471234981,0.6192714977595541,0.6253925776379741
ethnicity,ethnicity,0.6143667819857669,0.6153531098089803,0.6138262778018801
ethnicity,gender,0.6029040875847715,0.5986127864733057,0.5998689905810667
ethnicity,nationality,0.6128863100809553,0.6102519226515073,0.6105204646450946
ethnicity,physical_appearance,0.6101537436541629,0.6114276983550895,0.6100271210867082
ethnicity,race,0.6157381594330446,0.6146363955145316,0.6140908921597359
ethnicity,region,0.6050140809414867,0.5937682361326462,0.5982266571386857
ethnicity,religion,0.6242896489060897,0.6300341522491363,0.626415188970237
