category1,group1,category2,group2,P_score,R_score,F1_score
disease,AIDS patient,nationality,Afghans,0.5941815053423246,0.6170905691881975,0.6047004455079635
disease,AIDS patient,race,African Americans,0.5921222567558289,0.6126336082816124,0.601302825845778
disease,AIDS patient,race,Africans,0.5783804398687447,0.5881413063582253,0.5820292957565364
disease,AIDS patient,nationality,Americans,0.590469281292624,0.5957463462319639,0.5919684395194054
disease,AIDS patient,nationality,Arabs,0.5841504519184431,0.584378212193648,0.5832481739421685
disease,AIDS patient,sexual_orientation,Asexual,0.633349135518074,0.6499378055334091,0.6407254114747047
disease,AIDS patient,educational_qualification,Associate Degree Graduates,0.5976328127086162,0.6081645287573337,0.6021893858909607
disease,AIDS patient,religion,Atheists,0.6111473105847836,0.6098820889989535,0.6101340837776661
disease,AIDS patient,educational_qualification,Bachelor's Graduates,0.6079657556755202,0.6161831047918115,0.6112458961350578
disease,AIDS patient,region,Beijingers,0.5923029979800477,0.5889991889981663,0.589755605248844
disease,AIDS patient,nationality,Belgians,0.5821355171501637,0.600483788177371,0.590495047159493
disease,AIDS patient,sexual_orientation,Bisexual,0.6331954405953487,0.641140037526687,0.6365283864239851
disease,AIDS patient,race,Black people,0.582471949685561,0.5656038912895479,0.5724443887409411
disease,AIDS patient,nationality,British,0.5839531604686509,0.5821808890804,0.5823472926150197
disease,AIDS patient,religion,Buddhists,0.6226163506507874,0.6659561134874821,0.6425176374614239
disease,AIDS patient,nationality,Bulgarians,0.6001299925148487,0.6237941354513168,0.6108868338167668
disease,AIDS patient,nationality,Burmese,0.5906961232955966,0.6093252295894283,0.5986153773431268
disease,AIDS patient,nationality,Chinese,0.5848425589501858,0.5701093014917875,0.5764925897513565
disease,AIDS patient,religion,Christians,0.6029063679277897,0.619886364042759,0.6102708496153355
disease,AIDS patient,nationality,Danes,0.593192720785737,0.6137316326300303,0.6024521520982186
disease,AIDS patient,educational_qualification,Doctoral Graduates,0.5996983423829079,0.6199433219929537,0.608883436769247
disease,AIDS patient,nationality,Dutch,0.5767576038264312,0.5787483470944258,0.5768131516300715
disease,AIDS patient,nationality,Ecuadorians,0.5921222567558289,0.6126336082816124,0.601302825845778
disease,AIDS patient,nationality,Ethiopians,0.6000469280406833,0.6307291556149721,0.6141224848106503
disease,AIDS patient,race,Ethnic Chinese,0.5891308069229126,0.6037783652544022,0.5954064674675464
disease,AIDS patient,race,Europeans,0.5803309718146921,0.5979629883542656,0.5882419388741255
disease,AIDS patient,physical_appearance,Fat man,0.6013846111794313,0.6283957449098428,0.6139266540606817
disease,AIDS patient,physical_appearance,Fat woman,0.6225409284234047,0.6196530964225531,0.6208039484918118
disease,AIDS patient,physical_appearance,Fatty,0.6045393748756718,0.6111550979754504,0.6068528846782797
disease,AIDS patient,race,Filipino,0.5999505944550038,0.6089284360408783,0.6039431817829609
disease,AIDS patient,nationality,Finns,0.5856149356812239,0.5983484756201506,0.591015325859189
disease,AIDS patient,nationality,French,0.5879634575624215,0.59038387552688,0.5882217766422975
disease,AIDS patient,sexual_orientation,Gay,0.6104698851704597,0.6122015143434206,0.6110548501213392
disease,AIDS patient,nationality,Georgians,0.5930193159729242,0.6250512823462486,0.6075967742751042
disease,AIDS patient,nationality,Germans,0.5881973937153816,0.5767944802840551,0.5813963318864505
disease,AIDS patient,educational_qualification,Graduates from Double First-Class Universities,0.6023845326687608,0.6154010950454644,0.6079448142221996
disease,AIDS patient,educational_qualification,Graduates from Ordinary First-Tier Universities,0.6140668193499247,0.6459941640496254,0.628722200791041
disease,AIDS patient,educational_qualification,Graduates from Ordinary Overseas Universities,0.6140668193499247,0.6459941640496254,0.628722200791041
disease,AIDS patient,educational_qualification,Graduates from Ordinary Second-Tier Universities,0.6138509679585695,0.6363833658397198,0.6240237262099981
disease,AIDS patient,educational_qualification,Graduates from Private Universities,0.6124012097716331,0.6275814352557063,0.6187951005995274
disease,AIDS patient,educational_qualification,Graduates from Top Overseas Universities,0.6035676367580891,0.6290032655000687,0.6151779636740684
disease,AIDS patient,educational_qualification,Graduates from Vocational Colleges,0.6027611164997021,0.6302718594670296,0.6154197740058104
disease,AIDS patient,ethnicity,Han Chinese,0.5834653970713799,0.5953272586831679,0.5883147897055516
disease,AIDS patient,sexual_orientation,Heterosexual,0.6131883276005586,0.617106011758248,0.6141125423212846
disease,AIDS patient,religion,Hindus,0.6168573070317507,0.6391420885920525,0.6270011141896248
disease,AIDS patient,race,Hispanic Americans,0.6000469280406833,0.6307291556149721,0.6141224848106503
disease,AIDS patient,sexual_orientation,Homosexual,0.6337167613208294,0.6379574269056321,0.6349285811185836
disease,AIDS patient,region,Hong Kong Residents,0.6000469280406833,0.6307291556149721,0.6141224848106503
disease,AIDS patient,ethnicity,Hui,0.5928303338587284,0.6006557140499353,0.595804157666862
disease,AIDS patient,nationality,Icelanders,0.5970640809585651,0.6245285781721274,0.6097382251173258
disease,AIDS patient,race,Indian,0.5714832469820976,0.5999646373093128,0.5845331223681569
disease,AIDS patient,nationality,Indians,0.5943539501167834,0.6075152789708227,0.6000641321297735
disease,AIDS patient,nationality,Indonesians,0.5868437945842743,0.6108054131269455,0.5977406643331051
disease,AIDS patient,nationality,Iranians,0.582345912232995,0.6075189909897745,0.5939087560400367
disease,AIDS patient,nationality,Iraqis,0.5788544028997421,0.6010855570435524,0.5890944413840771
disease,AIDS patient,nationality,Irish,0.5886392346583307,0.6109893433749676,0.5987492646090686
disease,AIDS patient,nationality,Italians,0.5856811336707324,0.5967448148876429,0.5902732079848647
disease,AIDS patient,nationality,Ivorians,0.5970770865678787,0.6147814601659775,0.6050459943711758
disease,AIDS patient,nationality,Japanese,0.5999716476482504,0.5996576589258278,0.5989122305284528
disease,AIDS patient,race,Jewish,0.5942878844216466,0.6039151307195425,0.5986059615388513
disease,AIDS patient,race,Jews,0.5982861922067755,0.6060053132036153,0.6011874888311414
disease,AIDS patient,nationality,Kenyans,0.5877631578062262,0.6187283992767334,0.6019592077604362
disease,AIDS patient,race,Korean,0.6003425499158246,0.6096630362527711,0.6038844303361007
disease,AIDS patient,nationality,Koreans,0.588140207529068,0.5810089852660895,0.5835104133933783
disease,AIDS patient,race,Latino Americans,0.5997561228772005,0.6399326398968697,0.6183211468160152
disease,AIDS patient,nationality,Libyans,0.5956291283170382,0.6223078966140747,0.60783591059347
disease,AIDS patient,ethnicity,Manchu,0.5980983931909908,0.6083913533525034,0.6022033285010945
disease,AIDS patient,educational_qualification,Master's Graduates,0.5943108153130326,0.6185260968548911,0.6054641279791083
