category1,group1,category2,group2,P_score,R_score,F1_score
disease,AIDS patient,nationality,Afghans,0.5716589575172752,0.5880431991431021,0.5795403829825821
disease,AIDS patient,race,African Americans,0.5917268805392754,0.5719026445274284,0.5812553658280322
disease,AIDS patient,race,Africans,0.5818092157283137,0.5736316475736839,0.5772795514954675
disease,AIDS patient,nationality,Americans,0.565138385386511,0.5791482920264868,0.5716076612403865
disease,AIDS patient,nationality,Arabs,0.5709753885247191,0.573892274402803,0.5720773880382837
disease,AIDS patient,sexual_orientation,Asexual,0.592107819357226,0.5928770723705468,0.5920499683799831
disease,AIDS patient,educational_qualification,Associate Degree Graduates,0.5846936508051811,0.6032531537536171,0.5934777079270251
disease,AIDS patient,religion,Atheists,0.5463236246871865,0.5676506380465307,0.5564165062351443
disease,AIDS patient,educational_qualification,Bachelor's Graduates,0.5796705591271453,0.5946613587509749,0.5865511888853739
disease,AIDS patient,region,Beijingers,0.573442243824723,0.5881497851302547,0.5804767119307672
disease,AIDS patient,nationality,Belgians,0.5811143434733195,0.6007317164586269,0.5905273806246266
disease,AIDS patient,sexual_orientation,Bisexual,0.598858184854332,0.596265135664524,0.5972089416735773
disease,AIDS patient,race,Black people,0.586433955645586,0.5837068143421852,0.5843917049552846
disease,AIDS patient,nationality,British,0.5751366254008151,0.5771014139009688,0.5758812492025258
disease,AIDS patient,religion,Buddhists,0.5680480856350091,0.5834230313028408,0.5752992632189804
disease,AIDS patient,nationality,Bulgarians,0.5713823764554916,0.582844453345063,0.5766973620781335
disease,AIDS patient,nationality,Burmese,0.5788760267112804,0.5703666537658977,0.5743776157606901
disease,AIDS patient,nationality,Chinese,0.5840018497359368,0.5852817938426063,0.5843760325810388
disease,AIDS patient,religion,Christians,0.571633565281668,0.5879603624343872,0.5792646129765818
disease,AIDS patient,nationality,Danes,0.5843237718507167,0.5814871960830303,0.5824515168464953
disease,AIDS patient,educational_qualification,Doctoral Graduates,0.5766385471628558,0.601409589674341,0.588422184166271
disease,AIDS patient,nationality,Dutch,0.5751705429492853,0.5738585600436867,0.5740687543444637
disease,AIDS patient,nationality,Ecuadorians,0.5788886473063499,0.5820639635286023,0.5801399152765991
disease,AIDS patient,nationality,Ethiopians,0.571976763731049,0.5906387830453534,0.5808807043298598
disease,AIDS patient,race,Ethnic Chinese,0.585817790296953,0.6024470879551819,0.5937743908890198
disease,AIDS patient,race,Europeans,0.5749998110537232,0.5754824791380273,0.5746564459997465
disease,AIDS patient,physical_appearance,Fat man,0.5893458960157248,0.5814188788895325,0.5847130693615444
disease,AIDS patient,physical_appearance,Fat woman,0.5759751596089667,0.5820967923708751,0.5775384852795915
disease,AIDS patient,physical_appearance,Fatty,0.5783638443437314,0.5980962160674315,0.5875466043249734
disease,AIDS patient,race,Filipino,0.5844570218462354,0.5902374272043822,0.586839017523191
disease,AIDS patient,nationality,Finns,0.5801827201645495,0.5928401750902976,0.5861057517715313
disease,AIDS patient,religion,Followers of Judaism,0.5818138178568568,0.597498021361537,0.589291404582675
disease,AIDS patient,nationality,French,0.5803243674316014,0.5808135490147133,0.5803393038137218
disease,AIDS patient,sexual_orientation,Gay,0.57167367372782,0.5905988915192504,0.5803049597488616
disease,AIDS patient,nationality,Georgians,0.5714705777168274,0.5783621683043818,0.5745566113918058
disease,AIDS patient,nationality,Germans,0.5845010738343032,0.5941599754773615,0.5890543744603751
disease,AIDS patient,educational_qualification,Graduates from Double First-Class Universities,0.5951777015642453,0.5999583200181043,0.5972014743313995
disease,AIDS patient,educational_qualification,Graduates from Ordinary First-Tier Universities,0.5832177617265923,0.58753580945745,0.5848152342046756
disease,AIDS patient,educational_qualification,Graduates from Ordinary Overseas Universities,0.5897018319931447,0.5845836563387774,0.5866126976392236
disease,AIDS patient,educational_qualification,Graduates from Ordinary Second-Tier Universities,0.5858585423378158,0.5874159952777612,0.5859463980856159
disease,AIDS patient,educational_qualification,Graduates from Private Universities,0.5892545020195745,0.5961964699914378,0.5920005214983417
disease,AIDS patient,educational_qualification,Graduates from Top Overseas Universities,0.5875998476628335,0.5918805669200036,0.5893583025086311
disease,AIDS patient,educational_qualification,Graduates from Vocational Colleges,0.589576646984403,0.5865645162053179,0.5875424471177947
disease,AIDS patient,ethnicity,Han Chinese,0.5753055478003383,0.5402418428099339,0.5560919445577543
disease,AIDS patient,sexual_orientation,Heterosexual,0.5727770555753512,0.584069597377339,0.5780012137088142
disease,AIDS patient,religion,Hindus,0.5768040861119933,0.5663953541267303,0.5710274931510717
disease,AIDS patient,race,Hispanic Americans,0.5825807571228016,0.5725089763441393,0.5769560607393399
disease,AIDS patient,sexual_orientation,Homosexual,0.6119645086194154,0.5925913685501708,0.6016222477628005
disease,AIDS patient,region,Hong Kong Residents,0.5850208606862802,0.5695961902493156,0.5770116914252532
disease,AIDS patient,ethnicity,Hui,0.5812289528864956,0.5485682850782657,0.5641312238164183
disease,AIDS patient,nationality,Icelanders,0.5777739437036616,0.6059638108510698,0.5913875336394943
disease,AIDS patient,race,Indian,0.5802165557249293,0.5982763700958829,0.5889002907458307
disease,AIDS patient,nationality,Indians,0.577772787681991,0.5793361878623405,0.5781863652650387
disease,AIDS patient,nationality,Indonesians,0.5728239299308869,0.5812180147616453,0.5767345738907655
disease,AIDS patient,nationality,Iranians,0.5680175596367447,0.5756986910897878,0.5715513047912428
disease,AIDS patient,nationality,Iraqis,0.5749096059892016,0.5825228520044363,0.5784396699591394
disease,AIDS patient,nationality,Irish,0.5787833092364014,0.5797089008957489,0.57893797696319
disease,AIDS patient,nationality,Italians,0.5830297565663788,0.5786607740499942,0.5806280422595239
disease,AIDS patient,nationality,Ivorians,0.582520689054202,0.6011726110105446,0.5914721668941573
disease,AIDS patient,nationality,Japanese,0.5838987890618529,0.588562570238803,0.5859816876282549
disease,AIDS patient,race,Jewish,0.5853471837296922,0.5928566018019312,0.5887732280278077
disease,AIDS patient,race,Jews,0.5848038533041554,0.5904024751075814,0.5873433888078697
disease,AIDS patient,nationality,Kenyans,0.5751800049817369,0.5785967280427294,0.5765886417319698
disease,AIDS patient,race,Korean,0.5883892281401542,0.5975972034277455,0.5926319055980251
disease,AIDS patient,nationality,Koreans,0.5852929641856515,0.576492125041596,0.5805933168658646
disease,AIDS patient,race,Latino Americans,0.5823067830947927,0.5664536146904635,0.5738875031274049
