category1,category2,P_score,R_score,F1_score
SES,SES,0.5919875093185873,0.5857013194296549,0.5880707317978034
SES,age,0.5885013865567649,0.5792096776630195,0.5831501757583403
SES,disability,0.5822791619701129,0.5783048659003749,0.5792481398569936
SES,disease,0.5863197495864362,0.5666535637520609,0.5756235336766762
SES,educational_qualification,0.5806196235611485,0.5811922987466129,0.5800505585457383
SES,ethnicity,0.583840850595455,0.5666535627378247,0.5743925453443596
SES,gender,0.583175128071856,0.5710482551953763,0.5762671043119498
SES,nationality,0.5860331028800215,0.5852562748038819,0.5849540312346129
SES,physical_appearance,0.5813527619639303,0.5748971403485883,0.5773394164803966
SES,race,0.5846332645392119,0.5819821015719676,0.5825392740160944
SES,region,0.5872519443029718,0.5730941522559505,0.5794280114585991
SES,religion,0.5843096718885178,0.5725294126047117,0.5776118686588412
SES,sexual_orientation,0.5788931865810196,0.5630936633331188,0.5700955079231614
age,age,0.5864059267064302,0.5890771914189069,0.5871746624361586
age,disability,0.5780159419025984,0.5833156662778121,0.5797215472165307
age,disease,0.588666650171424,0.578973825910712,0.5832259055186069
age,educational_qualification,0.5712476147699418,0.5811274516602312,0.5753912311011298
age,ethnicity,0.5831087659907158,0.575055546021196,0.5784456729179966
age,gender,0.5804958996371961,0.5780740150424265,0.5786107821991083
age,nationality,0.5813646482148769,0.5897001937750659,0.5848938167284715
age,physical_appearance,0.5755793813863979,0.5786235795569976,0.5764333696268852
age,race,0.5778584052559714,0.584738050399865,0.5806073845628957
age,region,0.5853256048861808,0.5803297606745076,0.5822657251536002
age,religion,0.5816721677660229,0.5794587106702515,0.5799296715134078
age,sexual_orientation,0.5761236994543427,0.5702129661791028,0.5724925120274056
disability,disability,0.5735524745151434,0.5873226781294211,0.5790859194983862
disability,disease,0.5892769324128367,0.574258397367822,0.5807308153500076
disability,educational_qualification,0.5711468241625116,0.5758975495581115,0.5723833821298373
disability,ethnicity,0.5792812248830023,0.5655712385159674,0.5713179549513698
disability,gender,0.5769932697942579,0.5692349985316313,0.5720394569171439
disability,nationality,0.5773374180840183,0.5802900520045737,0.5778402637679846
disability,physical_appearance,0.5721951241986003,0.5699920916510244,0.5700470320581656
disability,race,0.5749098732660871,0.5763787539819286,0.5745928770732055
disability,region,0.5804793566230019,0.5700113339473905,0.5742605011789276
disability,religion,0.5788918703312044,0.5712781950749874,0.5740309147766421
disability,sexual_orientation,0.5740099074176409,0.5628209589684711,0.567313090348386
disease,disease,0.6008484779779939,0.5990902063238468,0.5994784164816006
disease,educational_qualification,0.5620646937233326,0.5823450102827424,0.5712301417851441
disease,ethnicity,0.5745738351994575,0.5756884293401756,0.574555356431641
disease,gender,0.5726578893248698,0.5803548265664007,0.5758134088519826
disease,nationality,0.5664964774749891,0.5846008076181681,0.5747651536720546
disease,physical_appearance,0.5643555127131484,0.577491837299686,0.5701629769194274
disease,race,0.5616372405540493,0.5786643990395873,0.5693178939412609
disease,region,0.5771717221952766,0.5815630264526663,0.5788267277750002
disease,religion,0.5754972214377996,0.5831113858245404,0.5786518488116439
disease,sexual_orientation,0.5727352869130563,0.5770319393470914,0.5742413679334194
educational_qualification,educational_qualification,0.5804634789634924,0.5743481451719311,0.5764243602746605
educational_qualification,ethnicity,0.5737443505437809,0.5557348193175179,0.5637689802408505
educational_qualification,gender,0.5763812094463329,0.563751409994555,0.5691202490275484
educational_qualification,nationality,0.5774924813420022,0.5762414042735446,0.5760876981367892
educational_qualification,physical_appearance,0.5749005295763796,0.5677548289618988,0.5704524587781191
educational_qualification,race,0.5759408645586289,0.5726461968847348,0.57341791273637
educational_qualification,region,0.5772928196939332,0.5623830122293634,0.5689798831356256
educational_qualification,religion,0.5756781630036277,0.5632424265443645,0.5685482495940049
educational_qualification,sexual_orientation,0.5746766211432642,0.5582165651229318,0.5654444395945427
ethnicity,ethnicity,0.5848647962169008,0.5826248834117232,0.5829599108385776
ethnicity,gender,0.5722861525198528,0.5782489532616207,0.5745218172127872
ethnicity,nationality,0.5709252624022396,0.5869864298558088,0.5781573759491048
ethnicity,physical_appearance,0.5635600849521425,0.5746890972279347,0.5683366330940401
ethnicity,race,0.5684308078133173,0.5829814390763955,0.5748635050449108
ethnicity,region,0.5817182024530467,0.5852449295316704,0.5828557538164912
