category1,group1,category2,group2,P_score,R_score,F1_score
disease,AIDS patient,nationality,Afghans,0.5777754276494185,0.5825991187989712,0.5797664899379015
disease,AIDS patient,race,African Americans,0.5601143525405363,0.592741391740062,0.5754287189154914
disease,AIDS patient,race,Africans,0.5536381984079206,0.5737137001108479,0.5627078917917905
disease,AIDS patient,nationality,Americans,0.5485702854805979,0.5749443424159083,0.56085301003922
disease,AIDS patient,nationality,Arabs,0.560901191799591,0.5886017348927756,0.5739058287814259
disease,AIDS patient,sexual_orientation,Asexual,0.5778606663644313,0.5779469629873832,0.5773060987889767
disease,AIDS patient,educational_qualification,Associate Degree Graduates,0.5705962764147,0.5810654141008854,0.575177466028776
disease,AIDS patient,religion,Atheists,0.5873426804319024,0.5781475500203669,0.5824486359022558
disease,AIDS patient,educational_qualification,Bachelor's Graduates,0.5698950546281831,0.5882254706578212,0.5782909205099483
disease,AIDS patient,region,Beijingers,0.5831666114560344,0.5740826905819407,0.5783682807757143
disease,AIDS patient,nationality,Belgians,0.5478506707648436,0.582646259466807,0.5641588568687439
disease,AIDS patient,sexual_orientation,Bisexual,0.564170867022203,0.578893793926758,0.5706696155322653
disease,AIDS patient,race,Black people,0.560776574537158,0.5754593935360511,0.567428530852
disease,AIDS patient,nationality,British,0.55750214413617,0.5778345487145491,0.5669041274129882
disease,AIDS patient,religion,Buddhists,0.5793280125768097,0.5838725631435712,0.5811239569551415
disease,AIDS patient,nationality,Bulgarians,0.5264246214319158,0.5793414934365838,0.550765910634288
disease,AIDS patient,nationality,Burmese,0.5787483053677009,0.5850722800902646,0.581428358500654
disease,AIDS patient,nationality,Chinese,0.5731792754516369,0.5821242012144104,0.5771238947302345
disease,AIDS patient,religion,Christians,0.5721167864198359,0.5830038217652557,0.5770136934569758
disease,AIDS patient,nationality,Danes,0.5425672898441554,0.5686172528068224,0.5547313745319843
disease,AIDS patient,educational_qualification,Doctoral Graduates,0.5790877600014209,0.5936446256687243,0.5856327927857637
disease,AIDS patient,nationality,Dutch,0.5445164117429938,0.5835312734402361,0.562974554477703
disease,AIDS patient,nationality,Ecuadorians,0.5436540279675413,0.5739213265754558,0.5574808859990703
disease,AIDS patient,nationality,Ethiopians,0.5339047973685794,0.5727441958586375,0.5515795810686217
disease,AIDS patient,race,Ethnic Chinese,0.5571435951253995,0.566485542626608,0.5612772674179402
disease,AIDS patient,race,Europeans,0.5480750974681642,0.5683835987060789,0.557235931806148
disease,AIDS patient,physical_appearance,Fat man,0.5692161098264512,0.5850004443952016,0.5760233946925117
disease,AIDS patient,physical_appearance,Fat woman,0.564457521926273,0.5759229281634995,0.569259951173356
disease,AIDS patient,physical_appearance,Fatty,0.5656506227480399,0.5769929807733845,0.5707255325070373
disease,AIDS patient,race,Filipino,0.571793253503294,0.5772446344041416,0.5740601862088228
disease,AIDS patient,nationality,Finns,0.5516358353874901,0.5797855399473749,0.5648914548483762
disease,AIDS patient,religion,Followers of Judaism,0.551105432788531,0.5931342436472575,0.5709394214153289
disease,AIDS patient,nationality,French,0.5661446442691291,0.581316755627229,0.5731340844214448
disease,AIDS patient,sexual_orientation,Gay,0.5673678670742716,0.5815927492555721,0.5737191188936086
disease,AIDS patient,nationality,Georgians,0.5645077355431788,0.5856548853670106,0.5743341788649559
disease,AIDS patient,nationality,Germans,0.5781015064217087,0.5848156224968087,0.5809924232654082
disease,AIDS patient,educational_qualification,Graduates from Double First-Class Universities,0.5563063595378608,0.5706772198279698,0.5628042755419748
disease,AIDS patient,educational_qualification,Graduates from Ordinary First-Tier Universities,0.5304000799593173,0.5768393906062109,0.5517862794430632
disease,AIDS patient,educational_qualification,Graduates from Ordinary Overseas Universities,0.5299980433781942,0.5672498870558209,0.5462210750248697
disease,AIDS patient,educational_qualification,Graduates from Ordinary Second-Tier Universities,0.5423096916547009,0.5851414796184091,0.5620740143691793
disease,AIDS patient,educational_qualification,Graduates from Private Universities,0.5317818592843555,0.573894935704413,0.5510815174522854
disease,AIDS patient,educational_qualification,Graduates from Top Overseas Universities,0.555894794407345,0.584509838677588,0.5693182428961708
disease,AIDS patient,educational_qualification,Graduates from Vocational Colleges,0.5438607298665576,0.5740100764841946,0.5579803016174723
disease,AIDS patient,ethnicity,Han Chinese,0.5681321834403324,0.5791117060717529,0.5728950707650766
disease,AIDS patient,sexual_orientation,Heterosexual,0.5529644932349523,0.5670790068308512,0.5593656516075134
disease,AIDS patient,religion,Hindus,0.5747829967074924,0.576848056504869,0.5754330224715747
disease,AIDS patient,race,Hispanic Americans,0.5295317332612144,0.5811370657218827,0.5531102596388923
disease,AIDS patient,sexual_orientation,Homosexual,0.5618260439358601,0.5761429654497678,0.5682055638963673
disease,AIDS patient,region,Hong Kong Residents,0.5790422069002884,0.5847576731082165,0.5813670475675602
disease,AIDS patient,ethnicity,Hui,0.575042983227306,0.5799893797547729,0.577086574004756
disease,AIDS patient,nationality,Icelanders,0.5393689721338149,0.5841077268365922,0.5599916835868262
disease,AIDS patient,race,Indian,0.5641230093315244,0.5882637538636725,0.5753515064716339
disease,AIDS patient,nationality,Indians,0.5577881765762965,0.599624280889829,0.5775446024338404
disease,AIDS patient,nationality,Indonesians,0.5545587662607432,0.5945650456680192,0.5734829511079523
