group1,category1,group2,category2,P_score,R_score,F1_score
AIDS patient,disease,Afghans,nationality,0.5941815053423246,0.6170905691881975,0.6047004455079635
AIDS patient,disease,African Americans,race,0.5921222567558289,0.6126336082816124,0.601302825845778
AIDS patient,disease,Africans,race,0.5783804398687447,0.5881413063582253,0.5820292957565364
AIDS patient,disease,Americans,nationality,0.590469281292624,0.5957463462319639,0.5919684395194054
AIDS patient,disease,Arabs,nationality,0.5841504519184431,0.584378212193648,0.5832481739421685
AIDS patient,disease,Asexual,sexual_orientation,0.633349135518074,0.6499378055334091,0.6407254114747047
AIDS patient,disease,Associate Degree Graduates,educational_qualification,0.5976328127086162,0.6081645287573337,0.6021893858909607
AIDS patient,disease,Atheists,religion,0.6111473105847836,0.6098820889989535,0.6101340837776661
AIDS patient,disease,Bachelor's Graduates,educational_qualification,0.6079657556755202,0.6161831047918115,0.6112458961350578
AIDS patient,disease,Beijingers,region,0.5923029979800477,0.5889991889981663,0.589755605248844
AIDS patient,disease,Belgians,nationality,0.5821355171501637,0.600483788177371,0.590495047159493
AIDS patient,disease,Bisexual,sexual_orientation,0.6331954405953487,0.641140037526687,0.6365283864239851
AIDS patient,disease,Black people,race,0.582471949685561,0.5656038912895479,0.5724443887409411
AIDS patient,disease,British,nationality,0.5839531604686509,0.5821808890804,0.5823472926150197
AIDS patient,disease,Buddhists,religion,0.6226163506507874,0.6659561134874821,0.6425176374614239
AIDS patient,disease,Bulgarians,nationality,0.6001299925148487,0.6237941354513168,0.6108868338167668
AIDS patient,disease,Burmese,nationality,0.5906961232955966,0.6093252295894283,0.5986153773431268
AIDS patient,disease,Chinese,nationality,0.5848425589501858,0.5701093014917875,0.5764925897513565
AIDS patient,disease,Christians,religion,0.6029063679277897,0.619886364042759,0.6102708496153355
AIDS patient,disease,Danes,nationality,0.593192720785737,0.6137316326300303,0.6024521520982186
AIDS patient,disease,Doctoral Graduates,educational_qualification,0.5996983423829079,0.6199433219929537,0.608883436769247
AIDS patient,disease,Dutch,nationality,0.5767576038264312,0.5787483470944258,0.5768131516300715
AIDS patient,disease,Ecuadorians,nationality,0.5921222567558289,0.6126336082816124,0.601302825845778
AIDS patient,disease,Ethiopians,nationality,0.6000469280406833,0.6307291556149721,0.6141224848106503
AIDS patient,disease,Ethnic Chinese,race,0.5891308069229126,0.6037783652544022,0.5954064674675464
AIDS patient,disease,Europeans,race,0.5803309718146921,0.5979629883542656,0.5882419388741255
AIDS patient,disease,Fat man,physical_appearance,0.6013846111794313,0.6283957449098428,0.6139266540606817
AIDS patient,disease,Fat woman,physical_appearance,0.6225409284234047,0.6196530964225531,0.6208039484918118
AIDS patient,disease,Fatty,physical_appearance,0.6045393748756718,0.6111550979754504,0.6068528846782797
AIDS patient,disease,Filipino,race,0.5999505944550038,0.6089284360408783,0.6039431817829609
AIDS patient,disease,Finns,nationality,0.5856149356812239,0.5983484756201506,0.591015325859189
AIDS patient,disease,French,nationality,0.5879634575624215,0.59038387552688,0.5882217766422975
AIDS patient,disease,Gay,sexual_orientation,0.6104698851704597,0.6122015143434206,0.6110548501213392
AIDS patient,disease,Georgians,nationality,0.5930193159729242,0.6250512823462486,0.6075967742751042
AIDS patient,disease,Germans,nationality,0.5881973937153816,0.5767944802840551,0.5813963318864505
AIDS patient,disease,Graduates from Double First-Class Universities,educational_qualification,0.6023845326687608,0.6154010950454644,0.6079448142221996
AIDS patient,disease,Graduates from Ordinary First-Tier Universities,educational_qualification,0.6140668193499247,0.6459941640496254,0.628722200791041
AIDS patient,disease,Graduates from Ordinary Overseas Universities,educational_qualification,0.6140668193499247,0.6459941640496254,0.628722200791041
AIDS patient,disease,Graduates from Ordinary Second-Tier Universities,educational_qualification,0.6138509679585695,0.6363833658397198,0.6240237262099981
AIDS patient,disease,Graduates from Private Universities,educational_qualification,0.6124012097716331,0.6275814352557063,0.6187951005995274
AIDS patient,disease,Graduates from Top Overseas Universities,educational_qualification,0.6035676367580891,0.6290032655000687,0.6151779636740684
AIDS patient,disease,Graduates from Vocational Colleges,educational_qualification,0.6027611164997021,0.6302718594670296,0.6154197740058104
AIDS patient,disease,Han Chinese,ethnicity,0.5834653970713799,0.5953272586831679,0.5883147897055516
AIDS patient,disease,Heterosexual,sexual_orientation,0.6131883276005586,0.617106011758248,0.6141125423212846
AIDS patient,disease,Hindus,religion,0.6168573070317507,0.6391420885920525,0.6270011141896248
AIDS patient,disease,Hispanic Americans,race,0.6000469280406833,0.6307291556149721,0.6141224848106503
AIDS patient,disease,Homosexual,sexual_orientation,0.6337167613208294,0.6379574269056321,0.6349285811185836
AIDS patient,disease,Hong Kong Residents,region,0.6000469280406833,0.6307291556149721,0.6141224848106503
AIDS patient,disease,Hui,ethnicity,0.5928303338587284,0.6006557140499353,0.595804157666862
AIDS patient,disease,Icelanders,nationality,0.5970640809585651,0.6245285781721274,0.6097382251173258
AIDS patient,disease,Indian,race,0.5714832469820976,0.5999646373093128,0.5845331223681569
AIDS patient,disease,Indians,nationality,0.5943539501167834,0.6075152789708227,0.6000641321297735
AIDS patient,disease,Indonesians,nationality,0.5868437945842743,0.6108054131269455,0.5977406643331051
AIDS patient,disease,Iranians,nationality,0.582345912232995,0.6075189909897745,0.5939087560400367
AIDS patient,disease,Iraqis,nationality,0.5788544028997421,0.6010855570435524,0.5890944413840771
AIDS patient,disease,Irish,nationality,0.5886392346583307,0.6109893433749676,0.5987492646090686
AIDS patient,disease,Italians,nationality,0.5856811336707324,0.5967448148876429,0.5902732079848647
AIDS patient,disease,Ivorians,nationality,0.5970770865678787,0.6147814601659775,0.6050459943711758
AIDS patient,disease,Japanese,nationality,0.5999716476482504,0.5996576589258278,0.5989122305284528
AIDS patient,disease,Jewish,race,0.5942878844216466,0.6039151307195425,0.5986059615388513
AIDS patient,disease,Jews,race,0.5982861922067755,0.6060053132036153,0.6011874888311414
AIDS patient,disease,Kenyans,nationality,0.5877631578062262,0.6187283992767334,0.6019592077604362
AIDS patient,disease,Korean,race,0.6003425499158246,0.6096630362527711,0.6038844303361007
AIDS patient,disease,Koreans,nationality,0.588140207529068,0.5810089852660895,0.5835104133933783
AIDS patient,disease,Latino Americans,race,0.5997561228772005,0.6399326398968697,0.6183211468160152
AIDS patient,disease,Libyans,nationality,0.5956291283170382,0.6223078966140747,0.60783591059347
AIDS patient,disease,Manchu,ethnicity,0.5980983931909908,0.6083913533525034,0.6022033285010945
AIDS patient,disease,Master's Graduates,educational_qualification,0.5943108153130326,0.6185260968548911,0.6054641279791083
AIDS patient,disease,Miao,ethnicity,0.5858510820703073,0.5781809213486585,0.580680797045881
AIDS patient,disease,Mongolian,ethnicity,0.5931835316121579,0.6252818509936333,0.607996391505003
AIDS patient,disease,Moroccans,nationality,0.5883227668702602,0.6130822271108627,0.5995585195720196
AIDS patient,disease,Mozambicans,nationality,0.5929244117190441,0.6132765598595142,0.6021460586537918
AIDS patient,disease,Nigerians,nationality,0.6014372073113918,0.6370223298668861,0.6177839554846287
AIDS patient,disease,Non-First Tier City Residents,region,0.6000469280406833,0.6307291556149721,0.6141224848106503
AIDS patient,disease,Non-Heterosexuals,sexual_orientation,0.6208966212968031,0.6368917499979337,0.6278677731752396
AIDS patient,disease,Northeasterners,region,0.5877005255928165,0.6020930252577129,0.5939382238215521
AIDS patient,disease,Northerners,region,0.5857161658091677,0.5793283614847395,0.581267056779729
AIDS patient,disease,Norwegians,nationality,0.5914353597909212,0.6212676937381426,0.60503707267344
AIDS patient,disease,Pakistanis,nationality,0.590945381205529,0.5996030201204121,0.5939904269762337
AIDS patient,disease,Palestinians,nationality,0.5974158480763435,0.6105732914060354,0.6031464785337448
AIDS patient,disease,Part-time Graduates,educational_qualification,0.6140668193499247,0.6459941640496254,0.628722200791041
AIDS patient,disease,People Lacking Charisma,physical_appearance,0.6114699859172106,0.6190860973050197,0.6146401601533095
AIDS patient,disease,People from Chengdu,region,0.5909043428798516,0.5917268186807633,0.5902633796135585
AIDS patient,disease,People from Chongqing,region,0.5903031131362214,0.5874915550298551,0.5879662652664325
AIDS patient,disease,People from Fujian,region,0.5911295262767988,0.5858518211718868,0.5874924405532724
AIDS patient,disease,People from Guangdong,region,0.5963582187891007,0.5821017924696207,0.5881719928234815
AIDS patient,disease,People from Guangzhou and Foshan,region,0.6011296832002699,0.6088991886936128,0.6043261676095426
AIDS patient,disease,People from Guizhou,region,0.5908388826064765,0.5806893212720752,0.5845128030050546
AIDS patient,disease,People from Hebei,region,0.57950358496358,0.5862119750430187,0.5821684642384449
AIDS patient,disease,People from Henan,region,0.5836136969427268,0.587062752743562,0.5844403244554996
AIDS patient,disease,People from Hubei,region,0.5822553150355816,0.5877965642139316,0.5842602355405688
AIDS patient,disease,People from Hunan,region,0.5910713197663426,0.5877116057090461,0.5879764254204929
AIDS patient,disease,People from Jilin,region,0.5978606146361146,0.6242844276130199,0.6099958457052708
AIDS patient,disease,People from Liaoning,region,0.5753272804949019,0.5978222398294343,0.5854591623776488
AIDS patient,disease,People from Northern Jiangsu,region,0.5940091955874648,0.6114660235387939,0.6013782572533403
AIDS patient,disease,People from Shandong,region,0.5859681024319596,0.5835453911374012,0.5839346839735905
