cat,dist_acc_train,dist_acc_test,siam_acc_test
SES,0.5356903485254692,0.5401360544217687,0.6714285714285714
SES,0.5373659517426274,0.530952380952381,0.6799319727891157
SES,0.5440683646112601,0.5380952380952381,0.676530612244898
SES,0.5397117962466488,0.5479591836734694,0.6799319727891157
SES,0.539544235924933,0.5360544217687074,0.6785714285714286
age,0.5427624185210159,0.5523613963039015,0.7622632899840293
age,0.5392222971454259,0.5639972621492129,0.76922199406799
age,0.5504045853000674,0.5442619210586357,0.7501711156741958
age,0.5503483928972803,0.5468856947296372,0.757015742642026
age,0.5497864688694089,0.5522473191877709,0.7550764316678075
disability,0.5438901778808971,0.5557299843014128,0.6102825745682888
disability,0.5537509667440061,0.5455259026687598,0.6216640502354788
disability,0.5406032482598608,0.5404238618524333,0.6145996860282574
disability,0.5525908739365816,0.554945054945055,0.6004709576138147
disability,0.5471771075019335,0.5470957613814756,0.6173469387755102
disease,0.5249582482835405,0.5148775894538606,0.7687382297551789
disease,0.518463536834292,0.5291902071563088,0.7630885122410546
disease,0.5234737428094266,0.5295668549905838,0.7849340866290019
disease,0.5323807756541102,0.5235404896421846,0.7789077212806026
disease,0.5206902950454629,0.5258003766478343,0.7578154425612053
educational_qualification,0.5256747404844291,0.5184040460803596,0.6128125878055634
educational_qualification,0.52719723183391,0.5279572913739815,0.6088788985670132
educational_qualification,0.5266435986159169,0.5321719584152852,0.6167462770441136
educational_qualification,0.5267820069204152,0.529643158190503,0.6161843214386064
educational_qualification,0.5238754325259516,0.5285192469794886,0.6161843214386064
ethnicity,0.520566913741142,0.518273524061518,0.7210186869522077
ethnicity,0.5194265700089599,0.5192657516123698,0.7253183396725649
ethnicity,0.5147022888327767,0.5222424342649248,0.7246568546386638
ethnicity,0.5177975075344139,0.5186042665784687,0.7276335372912188
ethnicity,0.5204040074936874,0.5138085000826856,0.7340830163717545
gender,0.5294304804327076,0.5354912796956866,0.7093231895499892
gender,0.5423692862445646,0.5289600229670566,0.7064523074714706
gender,0.5369250892636194,0.5451805067106869,0.7045862341204335
gender,0.5337787676317743,0.5283858465513529,0.7109739467451375
gender,0.5308445575706154,0.5327639417210938,0.7046580061723965
nationality,0.5373294445003185,0.5340638399237733,0.6492207173483971
nationality,0.5342451976264709,0.5418226366296877,0.6441162458313483
nationality,0.534982734922391,0.5388960729599129,0.6475872864629415
nationality,0.5341446243588455,0.5400530865037773,0.6460899748179405
nationality,0.5347145395420564,0.5440686040971892,0.6543251888654461
physical_appearance,0.544589774078478,0.5548746518105849,0.8180129990714949
physical_appearance,0.5516326717277966,0.5463324048282265,0.8185701021355617
physical_appearance,0.551175340711607,0.5478180129990715,0.8187558031569173
physical_appearance,0.543583645842861,0.5472609099350046,0.8079851439182916
physical_appearance,0.549254550443611,0.5448467966573816,0.8133704735376045
race,0.5433108758421559,0.5394685423993748,0.6977334896443923
race,0.5472569778633302,0.558421258304025,0.6803438843298163
race,0.5416746871992301,0.5447440406408753,0.6901133255177804
race,0.541385948026949,0.5558812035951544,0.6824931613911684
race,0.5418671799807507,0.5394685423993748,0.6662758890191481
region,0.5324553884516481,0.5326688815060908,0.6204714443917102
region,0.5342476427959167,0.5393925011865212,0.627748773928176
region,0.5378321514844542,0.535437430786268,0.6166745768074672
region,0.5356892386815242,0.5412118335706375,0.6204714443917102
region,0.5365853658536586,0.5335389969941465,0.621499762695776
religion,0.5941993058998513,0.5915492957746479,0.8440643863179075
religion,0.5887456618740704,0.6001006036217303,0.8284708249496981
religion,0.5979176995537928,0.5985915492957746,0.8390342052313883
religion,0.6036192364898364,0.5870221327967807,0.8360160965794768
religion,0.5820525532969757,0.5945674044265593,0.829979879275654
sexual_orientation,0.5385586267827843,0.5436843453753523,0.776069689982065
sexual_orientation,0.5376751230594472,0.5398411478349987,0.776069689982065
sexual_orientation,0.5364129748832513,0.5421470663592108,0.7745324109659236
sexual_orientation,0.5365391897008709,0.5421470663592108,0.7809377401998463
sexual_orientation,0.5343935378013379,0.5549577248270561,0.7753010504739943
