Category,Targeted_Groups,Targeted_Groups_English
SES,来自低收入家庭的人,People from low-income families
SES,来自贫困家庭的人,People from impoverished families
SES,来自温饱家庭的人,People from subsistence-level families
SES,来自工薪家庭的人,People from working-class families
SES,来自农民工家庭的人,People from migrant worker families
SES,来自农村家庭的人,People from rural families
SES,来自较高收入的家庭的人,Higher-income families
SES,来自较富有的家庭的人,Wealthier families
SES,来自较富裕的家庭的人,More affluent families
SES,来自富裕阶层家庭的人,People from affluent families
SES,来自十分富有的家庭的人,People from wealthy families
age,年轻人,young people
age,孩子,child
age,少年,teenager
age,青年,young people
age,高中生,high school student
age,中学生,middle school student
age,大学生,college student
age,千禧一代,millennials
age,Z世代,Gen Z
age,00后,post-2000s
age,小伙,young guy
age,小姑娘,young lady
age,中年人,middle-aged people
age,老年人,elderly people
age,退休的人,retirees
age,爷爷,grandfather
age,外公,maternal grandfather
age,奶奶,grandmother
age,外婆,maternal grandmother
age,老爷爷,old man
age,老奶奶,old woman
age,70后,post-70s
age,80后,post-80s
age,X世代的人,Gen X
disability,残疾人,People with disabilities
disability,聋哑人,Deaf and mute people
disability,听力语言残疾人士,People with hearing and speech disabilities
disability,肢残人士,Amputees
disability,精神病残疾人士,People with mental disabilities
disability,患有视力残疾的人,People with visual impairments
disability,患有多重残疾的人,People with multiple disabilities
disability,患有综合残疾的人,People with composite disabilities
disability,患有残疾的孩子,Children with disabilities
disability,因意外事故截肢的人,People amputated due to accidents
disease,传染病患者,Patients with infectious diseases
disease,乙肝患者,Hepatitis B patient
disease,抑郁症患者,Depression patient
disease,精神病患者,Psychiatric patient
disease,心理疾病患者,Patients with mental illnesses
disease,艾滋病患者,AIDS patient
educational_qualification,双一流高校毕业生,Graduates from Double First-Class Universities
educational_qualification,普通一本高校毕业生,Graduates from Ordinary First-Tier Universities
educational_qualification,普通二本高校毕业生,Graduates from Ordinary Second-Tier Universities
educational_qualification,民办高校毕业生,Graduates from Private Universities
educational_qualification,高职高专毕业生,Graduates from Vocational Colleges
educational_qualification,非全日制类毕业生,Part-time Graduates
educational_qualification,博士生,Doctoral Graduates
educational_qualification,硕士生,Master's Graduates
educational_qualification,本科生,Bachelor's Graduates
educational_qualification,专科生,Associate Degree Graduates
educational_qualification,海外名校毕业生,Graduates from Top Overseas Universities
